"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"10404",57,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","4"
"10407",35,1,6,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Fair","English","English only","Health occupations","4"
"10408",46.6,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in education, law and social, community and ...","6"
"10409",43.8,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Good","Good","English","English only","Management occupations","5"
"10412",20.9,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Good","English","English only","Sales and service occupations","1"
"10413",19.9,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Good","English","English only","Sales and service occupations","1"
"10415",65.7,2,6,"Female","Born outside Canada","Living common-law","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Fair","Excellent","Non-official languages","English only","Management occupations","1"
"10416",24.8,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","Both English and French","Sales and service occupations","1"
"10417",26.7,0,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Good","English","English only","Natural and applied sciences and related occupations","2"
"10418",47.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","French","French only","Trades, transport and equipment operators and related oc...","2"
"10419",44.3,2,8,"Female","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English","Both English and French","Occupations in education, law and social, community and ...","5"
"10420",38,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Fair","Good","English","English only","Trades, transport and equipment operators and related oc...","2"
"10421",52.7,0,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","1"
"10422",48.6,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Management occupations","6"
"10423",37.6,1,10,"Female","Born outside Canada","Married","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","Non-official languages","English only","Sales and service occupations","3"
"10424",22.4,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Good","English","English only","Sales and service occupations","1"
"10425",52.3,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Business, finance, and administration occupations","2"
"10427",30,1,9,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","English","English only","Health occupations","3"
"10428",34.8,3,9,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","English only","Occupations in art, culture, recreation and sport","2"
"10429",48.1,1,7,"Female","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","Don't know","Very good","Very good","English","English only","Sales and service occupations","1"
"10430",55.6,1,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Business, finance, and administration occupations","4"
"10432",59.4,1,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"10435",64.9,3,5,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","2"
"10436",55.3,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Health occupations","3"
"10438",43.5,2,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","2"
"10439",24.1,0,7,"Female","Born outside Canada","Single, never married","Don't know","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Very good","Non-official languages","English only","Business, finance, and administration occupations","1"
"10440",55.2,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Excellent","Excellent","French","French only","Management occupations","6"
"10442",58.7,1,6,"Female","Born in Canada","Divorced","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","0.1 to 29.9 hours","Very good","Good","English","English only","Occupations in art, culture, recreation and sport","2"
"10443",43.9,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","5"
"10448",18.5,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Very good","English","Both English and French","Trades, transport and equipment operators and related oc...","1"
"10449",30.4,0,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"10450",64.6,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Excellent","English","English only","Occupations in art, culture, recreation and sport","1"
"10451",35,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","3"
"10452",72.7,3,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Good","English and French","Both English and French","Sales and service occupations","2"
"10453",53.2,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","4"
"10455",45.8,0,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Very good","English","English only","Management occupations","3"
"10458",62.1,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","2"
"10463",18.9,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","1"
"10464",48.8,4,10,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Good","English","English only","Occupations in education, law and social, community and ...","3"
"10466",56.5,2,10,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","1"
"10467",52.8,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","2"
"10468",36.1,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Fair","English","English only","Occupations in education, law and social, community and ...","2"
"10470",44.3,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural and applied sciences and related occupations","3"
"10472",38.9,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","3"
"10473",63.8,0,8,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural and applied sciences and related occupations","6"
"10474",53.7,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","1"
"10476",57.5,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","French","French only","Occupations in education, law and social, community and ...","1"
"10477",72.3,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Don't know","Good","Very good","English and French","Both English and French","Business, finance, and administration occupations","5"
"10482",29.9,1,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"10483",21.9,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","Both English and French","Sales and service occupations","2"
"10484",62.8,0,7,"Female","Born outside Canada","Living common-law","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Very good","Excellent","English","English only","Business, finance, and administration occupations","6"
"10485",61.4,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","English","English only","Health occupations","3"
"10487",30.1,1,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","50.1 hours and more","Excellent","Very good","English","English only","Trades, transport and equipment operators and related oc...","4"
"10489",31.3,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Excellent","English","Both English and French","Health occupations","3"
"10491",60.3,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Poor","Very good","English","English only","Sales and service occupations","1"
"10492",59.7,1,5,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Management occupations","3"
"10493",50.9,1,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Fair","Poor","English","English only","Trades, transport and equipment operators and related oc...","1"
"10496",29.6,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Excellent","Good","English","English only","Occupations in art, culture, recreation and sport","2"
"10497",43.8,0,10,"Female","Born in Canada","Married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","Both English and French","Health occupations","4"
"10498",52.2,2,1,"Female","Born outside Canada","Divorced","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Poor","Poor","English","English only","Management occupations","3"
"10499",52,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Good","English","English only","Natural and applied sciences and related occupations","6"
"10501",43.3,1,9,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","1"
"10503",37.3,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Poor","Fair","English and French","Both English and French","Occupations in education, law and social, community and ...","1"
"10504",37.7,3,8,"Female","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","French","French only","Occupations in education, law and social, community and ...","3"
"10505",65.2,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Management occupations","4"
"10506",50.1,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","2"
"10507",39.1,1,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","Both English and French","Sales and service occupations","3"
"10509",62.8,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Good","Excellent","French","French only","Trades, transport and equipment operators and related oc...","3"
"10511",63.9,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","6"
"10516",61.3,1,6,"Male","Born in Canada","Widowed","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Natural and applied sciences and related occupations","6"
"10518",55.6,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","5"
"10520",42.4,3,7,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Excellent","Very good","English","English only","Occupations in education, law and social, community and ...","6"
"10521",46.7,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Excellent","English and non-official language","Both English and French","Uncodable","3"
"10523",36.9,1,7,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Good","Good","English","English only","Management occupations","3"
"10524",57.8,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Good","Excellent","French","Both English and French","Health occupations","6"
"10525",37.8,3,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Very good","Very good","French","Both English and French","Occupations in art, culture, recreation and sport","2"
"10527",26.3,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Good","Good","English","Both English and French","Occupations in education, law and social, community and ...","3"
"10528",17.3,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Good","French","Both English and French","Trades, transport and equipment operators and related oc...","1"
"10532",18,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","Both English and French","Sales and service occupations","1"
"10533",70.1,5,5,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Excellent","French","French only","Occupations in art, culture, recreation and sport","2"
"10534",34.8,3,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"10536",27.7,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","4"
"10537",38.3,2,4,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Poor","English","English only","Management occupations","3"
"10538",41.3,1,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Excellent","Very good","English","English only","Management occupations","3"
"10539",54.8,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Business, finance, and administration occupations","3"
"10540",56.3,3,5,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","0.1 to 29.9 hours","Fair","Fair","English","English only","Trades, transport and equipment operators and related oc...","1"
"10541",55.2,2,6,"Female","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Poor","Good","English and non-official language","English only","Business, finance, and administration occupations","1"
"10542",29.2,0,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Excellent","English","English only","Natural and applied sciences and related occupations","2"
"10547",68.1,1,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","0.1 to 29.9 hours","Very good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","3"
"10551",59.8,0,10,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","2"
"10553",44.3,2,8,"Female","Born outside Canada","Divorced","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"10555",60.9,2,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Very good","Very good","French","French only","Occupations in education, law and social, community and ...","3"
"10558",67.4,3,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0 hour","Very good","Very good","English","Both English and French","Occupations in art, culture, recreation and sport","1"
"10560",25.1,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Business, finance, and administration occupations","2"
"10562",17.5,0,7,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Good","English and non-official language","English only","Sales and service occupations","1"
"10563",57.3,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Good","French","French only","Sales and service occupations","1"
"10564",56,1,8,"Male","Born in Canada","Widowed","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Poor","Good","English","English only","Trades, transport and equipment operators and related oc...","2"
"10565",53.2,1,5,"Female","Born outside Canada","Living common-law","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English","English only","Health occupations","4"
"10568",56.1,2,8,"Female","Born outside Canada","Married","Visible minority","By naturalization","University certificate or diploma below the bachelor's level","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Natural and applied sciences and related occupations","3"
"10569",39.2,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","4"
"10570",41.4,3,6,"Male","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Good","English","Both English and French","Management occupations","4"
"10572",31.2,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English and French","Both English and French","Management occupations","2"
"10575",41.5,2,7,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","Non-official languages","English only","Business, finance, and administration occupations","2"
"10576",28.2,1,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English and non-official language","English only","Occupations in education, law and social, community and ...","2"
"10577",23.4,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"10580",34.9,1,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","2"
"10583",69.9,5,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural resources, agriculture and related production oc...","1"
"10586",44.7,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Very good","English","English only","Management occupations","6"
"10587",25.1,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Fair","English","English only","Business, finance, and administration occupations","2"
"10589",70.4,3,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","English","English only","Occupations in education, law and social, community and ...","2"
"10590",47.2,3,6,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English","English only","Sales and service occupations","2"
"10591",18,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Poor","English","English only","Sales and service occupations","1"
"10592",51.8,1,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Good","Non-official languages","Both English and French","Natural and applied sciences and related occupations","6"
"10593",15.3,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Good","English","English only","Sales and service occupations","1"
"10594",30.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in education, law and social, community and ...","2"
"10597",49.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"10600",29.7,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","2"
"10601",34.6,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Good","Good","English","English only","Business, finance, and administration occupations","5"
"10602",56.8,1,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural and applied sciences and related occupations","3"
"10603",34.7,0,6,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Excellent","Good","English and French","Both English and French","Trades, transport and equipment operators and related oc...","3"
"10604",59.5,0,6,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Fair","Very good","English","English only","Natural and applied sciences and related occupations","3"
"10605",45.3,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","2"
"10608",41.3,3,7,"Female","Born outside Canada","Single, never married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English, French and non-official language","Both English and French","Sales and service occupations","3"
"10609",22.7,0,8,"Female","Born in Canada","Single, never married","Don't know","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","Non-official languages","English only","Health occupations","1"
"10612",65,2,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Business, finance, and administration occupations","1"
"10613",59.4,0,8,"Male","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English and non-official language","English only","Natural and applied sciences and related occupations","4"
"10614",38.5,1,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Good","French","French only","Trades, transport and equipment operators and related oc...","2"
"10615",42.3,0,7,"Male","Born outside Canada","Single, never married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Good","English","English only","Business, finance, and administration occupations","6"
"10617",37.9,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"10618",20.2,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in art, culture, recreation and sport","1"
"10620",42.6,3,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Fair","Fair","French","Both English and French","Management occupations","6"
"10621",33.3,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Good","English","English only","Occupations in education, law and social, community and ...","2"
"10623",67.4,3,9,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","3"
"10624",57.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Business, finance, and administration occupations","3"
"10625",63.7,2,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Fair","Good","English","English only","Occupations in manufacturing and utilities","2"
"10626",60.3,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","2"
"10627",67.2,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","50.1 hours and more","Very good","Good","English","English only","Management occupations","2"
"10629",63.4,1,8,"Female","Born in Canada","Widowed","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Health occupations","2"
